MOIS,DATE,ANNEE,CATEGORIE,SOUS-CATEGORIE,PRODUITS,UNITE,VILLE,PRIX
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CREVETTE LOCALE,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DU VIETNAM / SAC 5 KGS,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DU VIETNAM / SACHET 900G,gramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DE THAÏLANDE / SAC 5 KGS,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DE THAÏLANDE / SACHET 900G,gramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,HUILE DE PALME RAFFINÉE / BOUTEILLE 5L,litre,SANPEDRO
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,HUILE DE PALME RAFFINÉE BOUTEILLE 31,litre,SANPEDRO
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,"HUILE DE PALME RAFFINÉE / BOUTEILLE 1,5L",litre,SANPEDRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,KPONAN (kg),kilogramme,BOUAKE,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME KLEGLE (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,ASSAWA,kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME BÊTÊ BÊTÊ (kg) ,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,MANIOC (kg),kilogramme,BOUAKE,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,CITRON (kg),kilogramme,BOUAKE,600
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,POMME DE TERRE (kg),kilogramme,BOUAKE,600
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,ANANAS (kg),kilogramme,BOUAKE,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,MIL (kg),kilogramme,BOUAKE,400
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,FONIO (400 GR.),gramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,RIZ LOCAL (LONGS GRAINS),kilogramme,BOUAKE,350
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,RIZ LOCAL (BRISURES),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,GOMBO Dioula,kilogramme,BOUAKE,100
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,GOMBO Baoulé,kilogramme,BOUAKE,100
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,AUBERGINE N'DROWA (kg),kilogramme,BOUAKE,150
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,AUBERGINE VIOLETTE,kilogramme,BOUAKE,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,BANANE DOUCE,sans unité,BOUAKE,100
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,OIGNON VIOLET - NIGER-BF (kg),kilogramme,BOUAKE,600
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,OIGNON BLANC (kg),kilogramme,BOUAKE,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,PIMENT (kg),kilogramme,BOUAKE,1000
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,GRAINE DE PALME (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,CITRON (kg),kilogramme,BOUAKE,600
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,GINGIMBRE (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,CAROTTE (kg),kilogramme,BOUAKE,1000
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,CHOU (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,COURGETTE (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,NAVET (kg),kilogramme,BOUAKE,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,POIVRON (kg),kilogramme,BOUAKE,700
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,COMCOMBRE (kg),kilogramme,BOUAKE,250
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,HARICOT VERT (kg),kilogramme,BOUAKE,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,HARICOT NIEBE BLANC,sans unité,BOUAKE,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,PAMPLEMOUSSE,sans unité,BOUAKE
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,PAPAYE (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,GOYAVE,sans unité,BOUAKE
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,MANGUES,sans unité,BOUAKE
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,TANGELO,sans unité,BOUAKE
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,ORANGE (kg),kilogramme,BOUAKE,200
